,parentId,authorDisplayName,replyComment,publishedAt,likeCount
51,UgySCuD67eTSyzR29NZ4AaABAg,Binge Central,Absolutely correct,2021-07-30T03:36:25Z,1
52,UgyJr0QthVyh_JJHwL54AaABAg,Binge Central,It’s all trrrible,2021-07-30T03:36:07Z,1
53,UgwmCZpmmGa9SlZROmp4AaABAg,Shani Marais,Amber recently admitted that it was a publicity stunt.  Her lies are just getting outrageous!,2021-08-01T18:30:14Z,0
54,Ugx154jndsCt1bMmpHl4AaABAg,Binge Central,That’s a good one,2021-07-30T03:35:44Z,1
55,UgyL6L3M4FKx-W6pn_h4AaABAg,kerriereed,@Binge Central ive already watch her get molested by jason in game of thrones. dont need to see that again. get someone in with stature not some 4 foot actress that only comes up to jasons nuts. if she in it im definitely not watching,2021-07-30T14:38:38Z,0
56,UgyL6L3M4FKx-W6pn_h4AaABAg,Binge Central,What’s ur point,2021-07-30T03:35:32Z,2
57,UgzW5wDknkFfMUAeLnZ4AaABAg,Melissa Meskauskas,Love the term anger turd! 🙏🏻🤩😂😂😂😂😂😂😂😂,2021-08-30T21:36:12Z,1
58,UgzW5wDknkFfMUAeLnZ4AaABAg,Fearless,Anger Turd lol,2021-08-18T20:56:59Z,1
59,UgzW5wDknkFfMUAeLnZ4AaABAg,Suzanne Bauer,"Anger Turd??? LMFAO!!!!!!!!!!!!!!!!!  This is the BEST phrase I think I've ever heard, LOL LOL",2021-08-12T03:40:12Z,4
60,UgzW5wDknkFfMUAeLnZ4AaABAg,Binge Central,Yeah she’d be the perfect cast member,2021-07-30T03:34:44Z,3
61,UgyUaAzZ6_iSWXK8Uj14AaABAg,Binge Central,Aquaman 👋🏼,2021-07-30T03:34:25Z,1
62,UgymemFClFgNsfmP5aR4AaABAg,Linda Alexander,Do you mean bread rolls or acting roles?,2021-08-29T13:42:07Z,0
63,UgymemFClFgNsfmP5aR4AaABAg,Binge Central,Gotta be fair to all,2021-07-30T03:34:07Z,1
64,Ugxts92SvT-uS_dr4AN4AaABAg,Binge Central,Couldnt agree more,2021-07-30T03:33:37Z,4
65,UgyeYBNCtpTVkqzq6kt4AaABAg,Mona Estrada,@Binge Central no it won't he has lots of other projects we will alk watch,2021-09-05T08:06:39Z,0
66,UgyeYBNCtpTVkqzq6kt4AaABAg,Binge Central,This’ll hurt Jason,2021-07-30T03:33:03Z,2
67,UgwIizfm96VNtuJ5Ngh4AaABAg,Binge Central,Johnny ! >>,2021-07-30T03:32:20Z,0
68,UgzZtevIBDk9u1LI6CN4AaABAg,Binge Central,Hungry what?,2021-07-30T03:32:12Z,1
69,UgzGAG9RdOURq93KZox4AaABAg,Binge Central,Woahhhhhh,2021-07-30T03:30:56Z,1
70,Ugx9qPlRffJEKfF9X294AaABAg,Binge Central,Just unacceptable,2021-07-30T03:30:44Z,1
71,UgzKi9MgTDnL1Qhqna94AaABAg,Ciri Gaming,I feel the same.,2021-07-30T09:23:19Z,1
72,UgzKi9MgTDnL1Qhqna94AaABAg,Binge Central,Emilia *,2021-07-30T03:30:36Z,2
73,Ugyxr0LomIseLqRJrml4AaABAg,Kat herine,@victor mendiola she is I'm pretty sure.,2021-08-12T04:06:19Z,0
74,Ugyxr0LomIseLqRJrml4AaABAg,victor mendiola,I hope so because if she’s in it I’m not watching it fuck them,2021-08-12T03:20:00Z,0
75,Ugyxr0LomIseLqRJrml4AaABAg,Kat herine,@Jj Jones it doesn't matter. She is a disgusting human being. And she was even hinting at having him killed. She threw something that cut his finger off. She abuses everybody. She even beat the shit out of her own sister. You're not changing my mind. She needs to be in a padded room.,2021-08-01T21:00:16Z,0
76,Ugyxr0LomIseLqRJrml4AaABAg,Jj Jones,@Kat herine Could it be worse than Mr. Bales disgusting toxic work behavior on set? And are Amber's tapes from private crappy behavior and not work related?,2021-08-01T19:34:25Z,0
77,Ugyxr0LomIseLqRJrml4AaABAg,Kat herine,@Jj Jones we heard the tapes. AMBER IS A MONSTER.,2021-08-01T18:47:40Z,0
78,UgzfH_cuoH9Ak4GYivB4AaABAg,Binge Central,It’s exciting to think about,2021-07-30T03:29:50Z,1
79,UgyZe9K3dfwrQwj5lUV4AaABAg,Binge Central,Can’t blame ya thete,2021-07-30T03:29:06Z,0
80,Ugw47l_JXzyUuQP-YbF4AaABAg,Pamala Darling,"It doesn't matter they statred filming they have the option of leaving out the scene's , if people were to boycott because of A don't you think it would be better for tickit sales to do so ??  What's the bottom line ?? Money",2021-07-30T13:17:58Z,0
81,Ugw47l_JXzyUuQP-YbF4AaABAg,Cornelia Hanimann,"I was about to say that maybe they already made the commitment and it's a artist over the person type of thing. You can't replace each actor as soon as he gets bad press, the law is supposed to take care of these things, not Hollywood. But since it's both from Warner Bro's and they got rid of Depp too, I'm a bit confused why they're actually sticking with this, this is bad press for them too! what the fuck?",2021-07-30T10:47:54Z,0
82,UgzSiQy4WJ0ZdVxXFAV4AaABAg,Binge Central,They look good together,2021-07-30T03:28:52Z,2
83,UgxzhYhp-BW8NX81Oyt4AaABAg,Binge Central,You don’t know who Johnny depp is?,2021-07-30T03:27:28Z,1
84,Ugyr9waxvhOI2ODO7O54AaABAg,Binge Central,It’ll all come out eventually,2021-07-29T02:47:32Z,2
85,Ugyr9waxvhOI2ODO7O54AaABAg,Alok 101,"@Binge Central cant wait to see her outed in court. It's great to see that her lawyers find her absolutely disgusting and are doing whatever they can to tank her case. Fingers crossed, they can get her the worst deal possible while legally doing their jobs.",2021-07-28T01:35:54Z,3
86,Ugyr9waxvhOI2ODO7O54AaABAg,Binge Central,Jason’s a funny guy,2021-07-28T00:12:46Z,2
87,UgyxxeK5RQAJX79RUnV4AaABAg,Tatiana Taman,She was not fired though. Amber will be in Aquaman 2...,2021-08-04T07:29:29Z,0
88,UgyxxeK5RQAJX79RUnV4AaABAg,Binge Central,She outta there,2021-07-28T00:13:12Z,0
89,UgxJdyDTd6AfSAwsgYZ4AaABAg,Binge Central,Honestly she is,2021-07-28T00:13:50Z,2
90,UgzZ9XdtjNi3OmV5syp4AaABAg,Janga Kanga,"@Binge Central Yes she is trying to pen a comic, A very bad one...",2021-07-28T01:38:39Z,0
91,UgzZ9XdtjNi3OmV5syp4AaABAg,Binge Central,Comic?,2021-07-28T00:14:17Z,0
92,UgxLuaajZHX39TRPcHd4AaABAg,Binge Central,Online I think,2021-07-28T00:15:43Z,0
93,Ugyu_19hDX-V9BmQwpN4AaABAg,Binge Central,Haha you right,2021-07-28T00:15:57Z,0
94,Ugyu_19hDX-V9BmQwpN4AaABAg,mcafee0738,You got the shit right!,2021-07-27T14:30:04Z,0
95,Ugy8bPXrGsvCoizQOgB4AaABAg,Binge Central,Johnny needs his roles back,2021-07-27T06:57:01Z,2
